10/4/2024 10:57:30 AM: Hotkey registered successfully: Modifiers: 3, Key: D
10/7/2024 3:51:23 PM: Hotkey registered successfully: Modifiers: 3, Key: D
10/7/2024 3:51:23 PM: Hotkey registered successfully: Modifiers: 3, Key: D
10/7/2024 3:52:31 PM: Hotkey registered successfully: Modifiers: 3, Key: D
10/7/2024 3:52:31 PM: Hotkey registered successfully: Modifiers: 3, Key: D
10/7/2024 3:54:02 PM: Hotkey registered successfully: Modifiers: 3, Key: D
10/7/2024 3:54:02 PM: Hotkey registered successfully: Modifiers: 3, Key: D
10/7/2024 3:54:35 PM: Hotkey registered successfully: Modifiers: 3, Key: D
10/7/2024 3:54:35 PM: Hotkey registered successfully: Modifiers: 3, Key: D
10/7/2024 4:16:27 PM: Hotkey registered successfully: Modifiers: 3, Key: D
10/7/2024 4:16:28 PM: Hotkey registered successfully: Modifiers: 3, Key: D
10/7/2024 4:34:45 PM: Hotkey registered successfully: Modifiers: 3, Key: D
10/7/2024 4:34:46 PM: Hotkey registered successfully: Modifiers: 3, Key: D
10/7/2024 4:41:06 PM: Hotkey registered successfully: Modifiers: 3, Key: D
10/7/2024 4:41:06 PM: Hotkey registered successfully: Modifiers: 3, Key: D
10/7/2024 4:43:44 PM: Failed to register hotkey: Modifiers: 3, Key: D
10/7/2024 4:43:44 PM: Failed to register hotkey: Modifiers: 3, Key: D
10/9/2024 3:16:41 PM: Hotkey registered successfully: Modifiers: 3, Key: D
10/9/2024 3:16:41 PM: Hotkey registered successfully: Modifiers: 3, Key: D
10/9/2024 3:19:04 PM: Hotkey registered successfully: Modifiers: 3, Key: D
10/9/2024 3:19:05 PM: Hotkey registered successfully: Modifiers: 3, Key: D
10/9/2024 3:20:22 PM: Hotkey registered successfully: Modifiers: 3, Key: D
10/9/2024 3:20:22 PM: Hotkey registered successfully: Modifiers: 3, Key: D
10/9/2024 3:23:28 PM: Hotkey registered successfully: Modifiers: 3, Key: D
10/9/2024 3:23:28 PM: Hotkey registered successfully: Modifiers: 3, Key: D
10/9/2024 3:24:31 PM: Hotkey registered successfully: Modifiers: 3, Key: D
10/9/2024 3:35:27 PM: Hotkey registered successfully: Modifiers: 3, Key: D
10/9/2024 3:38:18 PM: Hotkey registered successfully: Modifiers: 3, Key: D
10/9/2024 3:40:49 PM: Hotkey registered successfully: Modifiers: 3, Key: D
10/9/2024 3:44:19 PM: Hotkey registered successfully: Modifiers: 3, Key: D
10/9/2024 3:45:49 PM: Hotkey registered successfully: Modifiers: 3, Key: D
10/9/2024 3:46:55 PM: Hotkey registered successfully: Modifiers: 3, Key: D
10/9/2024 3:49:09 PM: Hotkey registered successfully: Modifiers: 3, Key: D
10/9/2024 4:03:56 PM: Hotkey registered successfully: Modifiers: 3, Key: D
10/9/2024 4:03:56 PM: Hotkey registered successfully: Modifiers: 3, Key: D
10/9/2024 4:05:06 PM: Hotkey registered successfully: Modifiers: 3, Key: D
10/9/2024 4:05:06 PM: Hotkey registered successfully: Modifiers: 3, Key: D
10/9/2024 4:49:22 PM: Hotkey registered successfully: Modifiers: 3, Key: D
10/9/2024 4:49:23 PM: Hotkey registered successfully: Modifiers: 3, Key: D
10/9/2024 4:55:37 PM: Hotkey registered successfully: Modifiers: 3, Key: D
10/9/2024 4:55:37 PM: Hotkey registered successfully: Modifiers: 3, Key: D
10/9/2024 4:56:39 PM: Hotkey registered successfully: Modifiers: 3, Key: D
10/9/2024 4:56:39 PM: Hotkey registered successfully: Modifiers: 3, Key: D
10/9/2024 5:01:25 PM: Hotkey registered successfully: Modifiers: 3, Key: D
10/9/2024 5:01:25 PM: Hotkey registered successfully: Modifiers: 3, Key: D
10/9/2024 5:08:54 PM: Hotkey registered successfully: Modifiers: 3, Key: D
10/9/2024 5:08:55 PM: Hotkey registered successfully: Modifiers: 3, Key: D
10/15/2024 1:34:44 PM: Hotkey registered successfully: Modifiers: 3, Key: D
10/15/2024 1:34:44 PM: Hotkey registered successfully: Modifiers: 3, Key: D
10/15/2024 1:54:36 PM: Hotkey registered successfully: Modifiers: 3, Key: D
10/15/2024 1:54:36 PM: Hotkey registered successfully: Modifiers: 3, Key: D
10/15/2024 2:16:55 PM: Hotkey registered successfully: Modifiers: 3, Key: D
10/15/2024 2:16:55 PM: Hotkey registered successfully: Modifiers: 3, Key: D
10/15/2024 2:19:49 PM: Hotkey registered successfully: Modifiers: 3, Key: D
10/15/2024 2:19:49 PM: Hotkey registered successfully: Modifiers: 3, Key: D
10/15/2024 2:23:46 PM: Hotkey registered successfully: Modifiers: 3, Key: D
10/15/2024 2:23:46 PM: Hotkey registered successfully: Modifiers: 3, Key: D
10/15/2024 2:25:55 PM: Hotkey registered successfully: Modifiers: 3, Key: D
10/15/2024 2:25:55 PM: Hotkey registered successfully: Modifiers: 3, Key: D
10/15/2024 2:27:10 PM: Hotkey registered successfully: Modifiers: 3, Key: D
10/15/2024 2:27:10 PM: Hotkey registered successfully: Modifiers: 3, Key: D
10/15/2024 2:32:32 PM: Hotkey registered successfully: Modifiers: 3, Key: D
10/15/2024 2:32:32 PM: Hotkey registered successfully: Modifiers: 3, Key: D
10/15/2024 2:35:07 PM: Hotkey registered successfully: Modifiers: 3, Key: D
10/15/2024 2:35:07 PM: Hotkey registered successfully: Modifiers: 3, Key: D
10/15/2024 2:37:04 PM: Hotkey registered successfully: Modifiers: 3, Key: D
10/15/2024 2:37:04 PM: Hotkey registered successfully: Modifiers: 3, Key: D
10/15/2024 2:39:09 PM: Hotkey registered successfully: Modifiers: 3, Key: D
10/15/2024 2:39:09 PM: Hotkey registered successfully: Modifiers: 3, Key: D
10/15/2024 2:40:10 PM: Hotkey registered successfully: Modifiers: 3, Key: D
10/15/2024 2:40:10 PM: Hotkey registered successfully: Modifiers: 3, Key: D
10/15/2024 2:44:11 PM: Hotkey registered successfully: Modifiers: 3, Key: D
10/15/2024 2:44:11 PM: Hotkey registered successfully: Modifiers: 3, Key: D
10/15/2024 2:48:09 PM: Hotkey registered successfully: Modifiers: 3, Key: D
10/15/2024 2:48:09 PM: Hotkey registered successfully: Modifiers: 3, Key: D
10/15/2024 2:57:19 PM: Hotkey registered successfully: Modifiers: 3, Key: D
10/15/2024 2:57:19 PM: Hotkey registered successfully: Modifiers: 3, Key: D
10/15/2024 2:59:16 PM: Hotkey registered successfully: Modifiers: 3, Key: D
10/15/2024 2:59:16 PM: Hotkey registered successfully: Modifiers: 3, Key: D
10/16/2024 8:34:24 AM: Hotkey registered successfully: Modifiers: 3, Key: D
10/16/2024 8:34:24 AM: Hotkey registered successfully: Modifiers: 3, Key: D
10/16/2024 8:45:47 AM: Hotkey registered successfully: Modifiers: 3, Key: D
10/16/2024 8:45:47 AM: Hotkey registered successfully: Modifiers: 3, Key: D
10/16/2024 8:47:36 AM: Hotkey registered successfully: Modifiers: 3, Key: D
10/16/2024 8:47:36 AM: Hotkey registered successfully: Modifiers: 3, Key: D
10/16/2024 8:50:12 AM: Hotkey registered successfully: Modifiers: 3, Key: D
10/16/2024 8:50:12 AM: Hotkey registered successfully: Modifiers: 3, Key: D
10/16/2024 8:54:19 AM: Hotkey registered successfully: Modifiers: 3, Key: D
10/16/2024 8:54:19 AM: Hotkey registered successfully: Modifiers: 3, Key: D
10/16/2024 8:57:03 AM: Hotkey registered successfully: Modifiers: 3, Key: D
10/16/2024 8:57:03 AM: Hotkey registered successfully: Modifiers: 3, Key: D
10/16/2024 9:16:39 AM: Hotkey registered successfully: Modifiers: 3, Key: D
10/16/2024 9:16:40 AM: Hotkey registered successfully: Modifiers: 3, Key: D
10/16/2024 9:16:57 AM: Failed to register hotkey: Modifiers: 3, Key: D
10/16/2024 9:16:57 AM: Failed to register hotkey: Modifiers: 3, Key: D
10/16/2024 9:51:30 AM: Hotkey registered successfully: Modifiers: 3, Key: D
10/16/2024 9:51:30 AM: Hotkey registered successfully: Modifiers: 3, Key: D
10/16/2024 9:51:39 AM: Failed to register hotkey: Modifiers: 3, Key: D
10/16/2024 9:51:39 AM: Failed to register hotkey: Modifiers: 3, Key: D
10/16/2024 10:51:02 AM: Hotkey registered successfully: Modifiers: 3, Key: D
10/16/2024 10:51:03 AM: Hotkey registered successfully: Modifiers: 3, Key: D
10/16/2024 11:05:51 AM: Hotkey registered successfully: Modifiers: 3, Key: D
10/16/2024 11:05:51 AM: Hotkey registered successfully: Modifiers: 3, Key: D
10/16/2024 11:15:12 AM: Hotkey registered successfully: Modifiers: 3, Key: D
10/16/2024 11:15:12 AM: Hotkey registered successfully: Modifiers: 3, Key: D
10/16/2024 11:15:57 AM: Failed to register hotkey: Modifiers: 3, Key: D
10/16/2024 11:15:57 AM: Failed to register hotkey: Modifiers: 3, Key: D
